,Unnamed: 0,Word 2,Human (mean),NGD
190,attempt,peace,4.25,0.2024647736423532
191,government,crisis,6.56,0.2321410879989202
192,deployment,departure,4.25,0.3142500470987797
193,deployment,withdrawal,5.88,0.3227661520354425
194,energy,crisis,5.94,0.2191365796448255
195,announcement,news,7.56,0.3760044608395055
196,announcement,effort,2.75,0.3020691508539397
197,stroke,hospital,7.03,0.2439102683196769
198,disability,death,5.47,0.24105227090651096
199,victim,emergency,6.47,0.2219210612092078
200,treatment,recovery,7.91,0.2548950246904904
201,journal,association,4.97,0.27988097813132384
202,doctor,personnel,5.0,0.2772169923678988
203,doctor,liability,5.19,0.3433194645942258
204,liability,insurance,7.03,0.2073239881534447
205,school,center,3.44,0.08718520811745382
206,reason,hypertension,2.31,0.3064907229920195
207,reason,criterion,5.91,0.2827129586959533
208,hundred,percent,7.38,0.1282160136056374
209,Harvard,Yale,8.13,0.12187308504904976
210,hospital,infrastructure,4.63,0.24843329526410596
211,death,row,5.25,0.2306117031267936
212,death,inmate,5.03,0.33816476885306385
213,lawyer,evidence,6.69,0.1554277394787236
214,life,death,7.88,0.2100614124061564
215,life,term,4.5,0.21294492959522449
216,word,similarity,4.75,0.3907074804148027
217,board,recommendation,4.47,0.34635339093752365
218,governor,interview,3.25,0.3162091706239826
219,OPEC,country,5.63,0.4908772794142151
220,peace,atmosphere,3.69,0.22356665724116095
221,peace,insurance,2.94,0.24260400387322656
222,territory,kilometer,5.28,0.3318448721699987
223,travel,activity,5.0,0.2625913106306696
224,competition,price,6.44,0.3045331531124123
225,consumer,confidence,4.13,0.19595129695953314
226,consumer,energy,4.75,0.18302595179007
227,problem,airport,2.38,0.3548412824878759
228,car,flight,4.94,0.3352273320002333
229,credit,card,8.06,0.14956836009673147
230,credit,information,5.31,0.16924903317795484
231,hotel,reservation,8.03,0.1597992149122513
232,grocery,money,5.94,0.27561750074154423
233,registration,arrangement,6.0,0.3702795740887873
234,arrangement,accommodation,5.41,0.2736340190217173
235,month,hotel,1.81,0.19600269685623545
236,type,kind,8.97,0.21214923769642266
237,arrival,hotel,6.0,0.3810565786759984
238,bed,closet,6.72,0.1831122989777821
239,closet,clothes,8.0,0.27318586381709364
240,situation,conclusion,4.81,0.20929115426640527
241,situation,isolation,3.88,0.2400594551094853
242,impartiality,interest,5.16,0.466281291912978
243,direction,combination,2.25,0.3112236830107316
244,street,place,6.44,0.059765794103429776
245,street,avenue,8.88,0.22816727754706975
246,street,block,6.88,0.2118237880884626
247,street,children,4.94,0.18026053975771109
248,listing,proximity,2.56,0.421691388298626
249,listing,category,6.38,0.40148037416012816
250,cell,phone,7.81,0.0215569339823444
251,production,hike,1.75,0.4507835575825504
252,benchmark,index,4.25,0.3804376472890783
253,media,trading,3.88,0.35773574733968205
254,media,gain,2.88,0.33728476495613063
255,dividend,payment,7.63,0.3528103563437829
256,dividend,calculation,6.48,0.2776643030403441
257,calculation,computation,8.44,0.1650367663226368
258,currency,market,7.5,0.21150207636143972
259,OPEC,oil,8.59,0.3462495963063484
260,oil,stock,6.34,0.17222115069467245
261,announcement,production,3.38,0.4021203164517289
262,announcement,warning,6.0,0.2926940319330817
263,profit,warning,3.88,0.22632545373990884
264,profit,loss,7.63,0.03084827065352575
265,dollar,yen,7.78,0.2251360674509952
266,dollar,buck,9.22,0.3604438444328351
267,dollar,profit,7.38,0.21395519893929688
268,dollar,loss,6.09,0.2196301897950635
269,computer,software,8.5,0.027143025763200164
270,network,hardware,8.31,0.2465612860274216
271,phone,equipment,7.13,0.1893206467486203
272,equipment,maker,5.91,0.3201257722892806
273,luxury,car,6.47,0.1832618012991128
274,five,month,3.38,0.15841999292770154
275,report,gain,3.63,0.2711958522762177
276,investor,earning,7.13,0.3803102179361404
277,liquid,water,7.89,0.2326224935968099
278,baseball,season,5.97,0.15535849387950526
279,game,victory,7.03,0.3058718834351559
280,game,team,7.69,0.09766898929720294
281,marathon,sprint,7.47,0.21214729801519772
282,game,series,6.19,0.13060908046207548
283,game,defeat,6.97,0.3980647775529373
284,seven,series,3.56,0.22782603812994826
285,seafood,sea,7.47,0.2583331381974057
286,seafood,food,8.34,0.30627957859269617
287,seafood,lobster,8.7,0.1000094588318418
288,lobster,food,7.81,0.3506200892700128
289,lobster,wine,5.7,0.2482238801033293
290,food,preparation,6.22,0.18567860082142
291,video,archive,6.34,0.3071458465558055
292,start,year,4.06,0.12280423893769984
293,start,match,4.47,0.19165537081864972
294,game,round,5.97,0.259021085058619
295,boxing,round,7.61,0.2771415611381925
296,championship,tournament,8.36,0.12937087513901988
297,fighting,defeating,7.41,0.3988292773865741
298,line,insurance,2.69,0.2865319597708816
299,day,summer,3.94,0.19485229226891645
300,summer,drought,7.16,0.3663682094830649
301,summer,nature,5.63,0.2626229388277537
302,day,dawn,7.53,0.3646165078619192
303,nature,environment,8.31,0.21002688697359426
304,environment,ecology,8.81,0.2574932577503912
305,nature,man,6.25,0.26753486645721597
306,man,woman,8.3,-0.038211940763109915
307,man,governor,5.25,0.3828855499997599
308,murder,manslaughter,8.53,0.2824776080611513
309,soap,opera,7.94,0.2392489793127185
310,opera,performance,6.88,0.31476976241779075
311,life,lesson,5.94,0.2345456409760451
312,focus,life,4.06,0.22239867121236775
313,production,crew,6.25,0.32760904345179714
314,television,film,7.72,0.16585261287891162
315,lover,quarrel,6.19,0.3789577345598876
316,viewer,serial,2.97,0.28049580785971623
317,possibility,girl,1.94,0.42616704134194333
318,population,development,3.75,0.23932013418518616
319,morality,importance,3.31,0.2433482523003752
320,morality,marriage,3.69,0.3386473095903294
321,Mexico,Brazil,7.44,0.18080389351902929
322,gender,equality,6.41,0.15909443906702828
323,change,attitude,5.44,0.3205260847895489
324,family,planning,6.25,0.015845596779314304
325,opera,industry,2.63,0.38966824640581743
326,sugar,approach,0.88,0.227978710016018
327,practice,institution,3.19,0.2911352829877769
328,ministry,culture,4.69,0.3519676808789151
329,problem,challenge,6.75,0.28051375189843586
330,size,prominence,5.31,0.4380759617088653
331,country,citizen,7.31,0.25733336627280856
332,planet,people,5.75,0.30033124828225816
333,development,issue,3.97,0.2648746973199613
334,experience,music,3.47,0.1365516737591581
335,music,project,3.63,0.1997546909400688
336,glass,metal,5.56,0.12755527804851455
337,aluminum,metal,7.83,0.2646032321385336
338,chance,credibility,3.88,0.322889645113611
339,exhibit,memorabilia,5.31,0.3402021739368641
340,concert,virtuoso,6.81,0.3839720630015247
341,rock,jazz,7.59,0.2301125043426527
342,museum,theater,7.19,0.22275348237466944
343,observation,architecture,4.38,0.381036883818564
344,space,world,6.53,0.16723688433408895
345,preservation,world,6.19,0.4423268241316452
346,admission,ticket,7.69,0.3046828747740413
347,shower,thunderstorm,6.31,0.4352237724487943
348,shower,flood,6.03,0.3339974886215465
349,weather,forecast,8.34,0.14652139844773912
350,disaster,area,6.25,0.32933483921342765
351,governor,office,6.34,0.3212740895115086
352,architecture,century,3.78,0.2667991722472575
